"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"A_036","0.00","0.06","0.04","0.00","0.00","0.34","0.40","0.01","0.05","0.32","0.18","0.22","0.10","0.40","0.15","0.40"
"A_037","0.00","0.02","0.00","0.00","0.12","0.25","0.06","0.00","0.15","0.16","0.22","0.00","0.31","0.03","0.21","0.00"
"A_038","0.00","0.09","0.00","0.00","0.04","0.29","0.13","0.00","0.17","0.10","0.35","0.00","0.26","0.07","0.28","0.00"
"A_039","0.00","0.07","0.07","0.00","0.00","0.19","0.15","0.01","0.04","0.23","0.22","0.08","0.18","0.02","0.01","0.16"
"A_040","0.00","0.03","0.01","0.00","0.17","0.21","0.27","0.00","0.35","0.31","0.63","0.08","0.26","0.01","0.21","0.06"
"A_041","0.00","0.19","0.00","0.00","0.00","0.34","0.29","0.00","0.21","0.24","0.47","0.00","0.15","0.14","0.36","0.02"
"A_042","0.00","0.07","0.11","0.00","0.00","0.12","0.32","0.00","0.15","0.08","0.31","0.05","0.06","0.09","0.12","0.00"
"A_043","0.00","0.02","0.00","0.00","0.02","0.25","0.09","0.00","0.19","0.04","0.25","0.00","0.21","0.04","0.14","0.00"
"A_044","0.00","0.07","0.03","0.00","0.00","0.15","0.27","0.00","0.15","0.08","0.35","0.00","0.21","0.00","0.20","0.00"
"A_045","0.00","0.23","0.01","0.00","0.02","0.20","0.10","0.00","0.20","0.10","0.20","0.00","0.22","0.00","0.18","0.00"
"A_046","0.07","0.02","0.03","0.00","0.00","0.02","0.17","0.00","0.09","0.25","0.41","0.00","0.10","0.00","0.26","0.00"
"A_047","0.00","0.00","0.11","0.00","0.00","0.15","0.42","0.03","0.00","0.36","0.33","0.16","0.02","0.19","0.07","0.14"
"A_048","0.00","0.00","0.00","0.00","0.00","0.30","0.38","0.00","0.16","0.11","0.45","0.02","0.25","0.23","0.40","0.00"
"A_049","0.00","0.00","0.00","0.00","0.00","0.22","0.45","0.03","0.00","0.25","0.11","0.32","0.06","0.31","0.12","0.24"
"A_050","0.00","0.00","0.00","0.00","0.00","0.18","0.28","0.00","0.00","0.29","0.32","0.00","0.20","0.25","0.15","0.06"
"A_051","0.00","0.44","0.00","0.00","0.00","0.18","0.32","0.03","0.17","0.38","0.26","0.02","0.01","0.10","0.25","0.00"
"A_052","0.00","0.22","0.23","0.00","0.00","0.34","0.23","0.02","0.07","0.38","0.28","0.18","0.07","0.21","0.00","0.20"
"A_053","0.00","0.13","0.25","0.01","0.00","0.24","0.19","0.03","0.00","0.45","0.32","0.25","0.26","0.09","0.02","0.29"
"A_054","0.00","0.19","0.15","0.20","0.00","0.41","0.34","0.34","0.00","0.25","0.01","0.25","0.00","0.12","0.00","0.20"
"A_055","0.00","0.30","0.25","0.00","0.02","0.31","0.32","0.04","0.15","0.22","0.26","0.21","0.27","0.01","0.00","0.32"
"A_056","0.00","0.00","0.29","0.00","0.00","0.04","0.33","0.12","0.00","0.25","0.25","0.24","0.00","0.25","0.04","0.17"
"A_057","0.00","0.17","0.16","0.00","0.00","0.38","0.24","0.00","0.02","0.24","0.28","0.00","0.17","0.42","0.44","0.01"
"A_058","0.00","0.08","0.22","0.00","0.00","0.25","0.29","0.04","0.01","0.19","0.13","0.11","0.21","0.21","0.29","0.17"
"A_059","0.04","0.00","0.38","0.00","0.00","0.22","0.20","0.03","0.00","0.38","0.28","0.16","0.00","0.28","0.00","0.22"
"A_060","0.00","0.12","0.11","0.00","0.00","0.31","0.25","0.00","0.18","0.35","0.33","0.00","0.22","0.02","0.17","0.05"
"A_061","0.00","0.00","0.24","0.03","0.00","0.16","0.43","0.00","0.00","0.35","0.42","0.12","0.01","0.36","0.05","0.17"
"A_062","0.00","0.12","0.11","0.00","0.00","0.45","0.33","0.00","0.00","0.52","0.45","0.07","0.17","0.18","0.26","0.05"
"A_063","0.00","0.04","0.36","0.00","0.00","0.32","0.22","0.00","0.06","0.39","0.35","0.00","0.26","0.04","0.15","0.08"
"A_064","0.00","0.00","0.00","0.00","0.00","0.45","0.03","0.00","0.02","0.41","0.35","0.00","0.16","0.29","0.43","0.00"
"A_065","0.00","0.05","0.32","0.00","0.00","0.36","0.37","0.00","0.00","0.52","0.51","0.05","0.00","0.31","0.15","0.13"
"A_066","0.00","0.00","0.21","0.00","0.00","0.21","0.34","0.00","0.00","0.41","0.43","0.14","0.00","0.35","0.04","0.23"
"A_067","0.00","0.00","0.03","0.00","0.00","0.05","0.45","0.06","0.00","0.31","0.06","0.34","0.00","0.31","0.08","0.21"
"A_068","0.00","0.00","0.09","0.00","0.00","0.07","0.50","0.02","0.00","0.44","0.35","0.23","0.00","0.33","0.01","0.22"
"A_069","0.00","0.00","0.00","0.00","0.00","0.12","0.32","0.00","0.00","0.37","0.49","0.04","0.00","0.46","0.27","0.11"
"A_070","0.00","0.00","0.21","0.00","0.00","0.25","0.40","0.00","0.00","0.25","0.43","0.08","0.12","0.11","0.19","0.13"
"A_071","0.00","0.00","0.00","0.00","0.00","0.00","0.55","0.07","0.00","0.23","0.32","0.34","0.00","0.35","0.13","0.31"
"A_072","0.00","0.00","0.17","0.00","0.00","0.04","0.50","0.07","0.00","0.31","0.40","0.20","0.04","0.33","0.05","0.24"
"A_073","0.00","0.11","0.33","0.00","0.00","0.47","0.46","0.00","0.07","0.45","0.43","0.08","0.18","0.20","0.09","0.17"
"A_074","0.00","0.00","0.02","0.00","0.00","0.21","0.45","0.00","0.00","0.40","0.51","0.16","0.05","0.26","0.08","0.27"
"A_075","0.00","0.00","0.00","0.00","0.00","0.38","0.20","0.00","0.06","0.34","0.30","0.00","0.40","0.15","0.40","0.00"
"A_076","0.00","0.16","0.00","0.00","0.00","0.31","0.26","0.00","0.19","0.31","0.46","0.00","0.25","0.00","0.26","0.00"
"A_077","0.00","0.26","0.15","0.00","0.00","0.39","0.31","0.00","0.05","0.50","0.44","0.02","0.22","0.04","0.24","0.01"
"A_078","0.00","0.04","0.10","0.02","0.00","0.35","0.48","0.00","0.00","0.49","0.43","0.07","0.06","0.28","0.06","0.16"
"A_079","0.00","0.00","0.00","0.00","0.00","0.47","0.21","0.00","0.12","0.16","0.36","0.00","0.29","0.33","0.47","0.00"
"A_080","0.00","0.13","0.18","0.00","0.00","0.42","0.48","0.00","0.19","0.36","0.46","0.05","0.35","0.04","0.07","0.10"
"A_081","0.00","0.01","0.24","0.00","0.00","0.20","0.40","0.00","0.00","0.45","0.45","0.13","0.12","0.33","0.14","0.17"
"A_082","0.00","0.07","0.05","0.04","0.00","0.35","0.17","0.00","0.02","0.25","0.45","0.00","0.21","0.12","0.35","0.00"
"A_083","0.00","0.03","0.17","0.04","0.00","0.34","0.26","0.01","0.04","0.41","0.36","0.17","0.25","0.00","0.13","0.17"
"A_084","0.00","0.19","0.02","0.00","0.03","0.15","0.29","0.00","0.17","0.22","0.34","0.00","0.21","0.00","0.36","0.00"
"A_085","0.00","0.04","0.00","0.00","0.00","0.29","0.31","0.00","0.08","0.36","0.51","0.00","0.17","0.00","0.36","0.02"
"A_086","0.00","0.00","0.00","0.13","0.00","0.35","0.11","0.00","0.03","0.26","0.41","0.00","0.16","0.34","0.45","0.00"
"A_087","0.00","0.00","0.00","0.00","0.06","0.43","0.00","0.00","0.33","0.35","0.27","0.00","0.31","0.02","0.25","0.00"
"A_088","0.00","0.00","0.30","0.00","0.00","0.26","0.23","0.00","0.00","0.55","0.29","0.07","0.02","0.34","0.00","0.06"
"A_089","0.00","0.02","0.00","0.00","0.02","0.39","0.00","0.00","0.25","0.45","0.13","0.00","0.37","0.01","0.18","0.00"
"A_090","0.00","0.15","0.00","0.00","0.00","0.21","0.40","0.00","0.06","0.42","0.53","0.04","0.24","0.04","0.17","0.06"
"A_091","0.00","0.14","0.00","0.00","0.00","0.31","0.17","0.00","0.15","0.35","0.47","0.03","0.24","0.00","0.31","0.00"
"A_092","0.00","0.05","0.00","0.05","0.07","0.57","0.00","0.00","0.26","0.56","0.15","0.00","0.38","0.13","0.35","0.00"
"A_093","0.00","0.20","0.09","0.00","0.00","0.45","0.28","0.00","0.08","0.45","0.42","0.00","0.31","0.00","0.43","0.00"
"A_094","0.00","0.00","0.00","0.00","0.21","0.37","0.00","0.00","0.36","0.47","0.07","0.00","0.42","0.09","0.30","0.00"
"A_095","0.00","0.21","0.02","0.00","0.05","0.50","0.12","0.00","0.23","0.32","0.31","0.00","0.49","0.03","0.47","0.00"
"A_096","0.02","0.00","0.00","0.00","0.25","0.17","0.00","0.00","0.13","0.47","0.00","0.00","0.38","0.56","0.00","0.00"
"A_097","0.00","0.07","0.00","0.08","0.16","0.46","0.00","0.00","0.44","0.53","0.07","0.00","0.12","0.17","0.07","0.00"
"A_098","0.00","0.14","0.00","0.00","0.00","0.54","0.05","0.00","0.17","0.61","0.56","0.00","0.37","0.04","0.40","0.00"
"A_099","0.00","0.09","0.03","0.00","0.00","0.29","0.29","0.00","0.05","0.52","0.48","0.00","0.13","0.04","0.28","0.00"
"A_100","0.00","0.09","0.02","0.00","0.01","0.30","0.34","0.00","0.26","0.38","0.43","0.00","0.25","0.00","0.25","0.00"
"Aa_001","0.00","0.00","0.00","0.00","0.00","0.19","0.44","0.04","0.00","0.34","0.65","0.10","0.00","0.46","0.47","0.26"
"Aa_002","0.00","0.00","0.00","0.00","0.00","0.06","0.21","0.00","0.07","0.17","0.45","0.00","0.06","0.37","0.26","0.03"
"Aa_003","0.00","0.00","0.00","0.00","0.00","0.26","0.16","0.00","0.22","0.24","0.45","0.00","0.02","0.11","0.15","0.19"
"Aa_004","0.00","0.00","0.10","0.00","0.00","0.09","0.36","0.00","0.00","0.31","0.50","0.03","0.00","0.26","0.15","0.19"
"Aa_005","0.00","0.00","0.00","0.00","0.00","0.07","0.30","0.00","0.00","0.24","0.56","0.00","0.00","0.35","0.34","0.27"
"Aa_006","0.00","0.00","0.00","0.00","0.00","0.01","0.26","0.00","0.00","0.22","0.34","0.09","0.00","0.13","0.17","0.32"
"Aa_007","0.00","0.00","0.00","0.00","0.00","0.12","0.05","0.00","0.02","0.33","0.42","0.00","0.01","0.49","0.17","0.07"
"Aa_008","0.00","0.00","0.00","0.00","0.00","0.38","0.23","0.00","0.23","0.20","0.35","0.00","0.30","0.39","0.15","0.08"
"Aa_009","0.00","0.00","0.00","0.00","0.00","0.23","0.28","0.00","0.00","0.23","0.45","0.00","0.00","0.33","0.18","0.18"
"Aa_010","0.00","0.00","0.00","0.00","0.00","0.13","0.33","0.00","0.00","0.17","0.42","0.00","0.00","0.46","0.12","0.13"
"Aa_011","0.00","0.00","0.10","0.00","0.00","0.20","0.32","0.00","0.03","0.19","0.41","0.00","0.00","0.27","0.12","0.12"
"Aa_012","0.00","0.00","0.00","0.00","0.00","0.13","0.37","0.00","0.00","0.34","0.44","0.10","0.00","0.11","0.01","0.20"
"Aa_013","0.00","0.00","0.00","0.00","0.00","0.13","0.21","0.00","0.02","0.22","0.37","0.00","0.03","0.22","0.32","0.15"
"Aa_014","0.00","0.00","0.00","0.00","0.00","0.14","0.20","0.00","0.00","0.22","0.36","0.00","0.00","0.32","0.20","0.16"
"Aa_015","0.00","0.00","0.00","0.00","0.00","0.13","0.35","0.00","0.00","0.24","0.38","0.00","0.00","0.22","0.36","0.16"
"Aa_016","0.00","0.00","0.00","0.00","0.00","0.21","0.33","0.00","0.00","0.30","0.45","0.00","0.00","0.45","0.23","0.06"
"Aa_017","0.00","0.00","0.00","0.00","0.00","0.20","0.38","0.00","0.00","0.32","0.49","0.00","0.00","0.45","0.20","0.20"
"Aa_018","0.00","0.00","0.00","0.00","0.04","0.44","0.20","0.00","0.16","0.36","0.28","0.00","0.03","0.20","0.14","0.02"
"Aa_019","0.00","0.00","0.00","0.00","0.00","0.28","0.01","0.00","0.11","0.21","0.27","0.00","0.21","0.21","0.25","0.06"
"Aa_020","0.00","0.00","0.05","0.00","0.00","0.20","0.06","0.00","0.00","0.54","0.13","0.00","0.23","0.35","0.45","0.02"
"Aa_021","0.00","0.03","0.02","0.00","0.03","0.34","0.19","0.00","0.25","0.28","0.25","0.00","0.17","0.29","0.30","0.04"
"Aa_022","0.00","0.00","0.02","0.00","0.00","0.24","0.43","0.00","0.00","0.36","0.53","0.00","0.00","0.32","0.24","0.17"
"Aa_023","0.00","0.00","0.00","0.00","0.06","0.27","0.00","0.00","0.00","0.35","0.06","0.00","0.10","0.46","0.23","0.00"
"Aa_024","0.00","0.00","0.00","0.00","0.02","0.26","0.00","0.00","0.23","0.47","0.00","0.00","0.17","0.13","0.13","0.00"
"Aa_025","0.00","0.00","0.02","0.00","0.00","0.28","0.07","0.00","0.25","0.28","0.42","0.06","0.22","0.30","0.03","0.02"
"Aa_026","0.00","0.00","0.00","0.02","0.02","0.09","0.28","0.00","0.00","0.22","0.53","0.00","0.03","0.07","0.36","0.14"
"Aa_027","0.00","0.00","0.00","0.00","0.00","0.33","0.45","0.00","0.00","0.15","0.58","0.00","0.00","0.28","0.17","0.14"
"Aa_028","0.00","0.00","0.00","0.00","0.00","0.24","0.12","0.00","0.05","0.23","0.46","0.00","0.00","0.25","0.17","0.05"
"Aa_029","0.00","0.00","0.00","0.00","0.00","0.12","0.46","0.04","0.00","0.19","0.43","0.02","0.00","0.09","0.06","0.27"
"Aa_030","0.00","0.00","0.00","0.00","0.00","0.22","0.30","0.02","0.00","0.17","0.27","0.08","0.00","0.15","0.12","0.17"
"Aa_031","0.00","0.00","0.00","0.00","0.00","0.07","0.05","0.00","0.00","0.24","0.34","0.00","0.00","0.26","0.27","0.01"
"Aa_032","0.00","0.00","0.00","0.00","0.00","0.00","0.16","0.00","0.00","0.04","0.44","0.00","0.00","0.12","0.29","0.00"
"Aa_033","0.00","0.00","0.00","0.00","0.00","0.25","0.31","0.00","0.00","0.56","0.47","0.00","0.00","0.00","0.08","0.02"
"Aa_034","0.01","0.02","0.03","0.00","0.00","0.31","0.52","0.00","0.10","0.19","0.41","0.00","0.01","0.25","0.06","0.00"
"Aa_035","0.02","0.00","0.00","0.00","0.00","0.48","0.00","0.00","0.24","0.61","0.00","0.00","0.05","0.07","0.02","0.00"
"Aa_036","0.02","0.00","0.00","0.02","0.05","0.56","0.43","0.00","0.22","0.22","0.43","0.15","0.01","0.14","0.00","0.05"
"Aa_037","0.00","0.00","0.00","0.02","0.15","0.39","0.26","0.00","0.24","0.39","0.35","0.03","0.00","0.00","0.02","0.02"
"Aa_038","0.00","0.03","0.01","0.00","0.00","0.26","0.12","0.00","0.11","0.27","0.14","0.00","0.06","0.23","0.08","0.00"
"Aa_039","0.00","0.00","0.00","0.00","0.00","0.04","0.10","0.00","0.02","0.20","0.42","0.00","0.07","0.31","0.10","0.00"
"Aa_040","0.00","0.00","0.00","0.00","0.00","0.07","0.25","0.00","0.00","0.09","0.49","0.00","0.00","0.16","0.09","0.03"
"Aa_041","0.00","0.00","0.00","0.00","0.00","0.08","0.24","0.00","0.00","0.17","0.35","0.00","0.00","0.17","0.19","0.05"
"Aa_042","0.02","0.00","0.00","0.00","0.00","0.08","0.00","0.00","0.09","0.35","0.00","0.00","0.15","0.16","0.10","0.00"
"Aa_043","0.00","0.00","0.00","0.02","0.00","0.06","0.26","0.00","0.00","0.34","0.37","0.00","0.00","0.25","0.31","0.06"
"Aa_044","0.01","0.00","0.00","0.00","0.00","0.23","0.18","0.00","0.00","0.24","0.31","0.00","0.00","0.25","0.24","0.07"
"Aa_045","0.01","0.02","0.02","0.00","0.00","0.10","0.05","0.00","0.00","0.33","0.46","0.00","0.00","0.35","0.21","0.00"
"Aa_046","0.04","0.04","0.02","0.00","0.00","0.09","0.42","0.00","0.00","0.37","0.43","0.00","0.00","0.31","0.24","0.18"
"Aa_047","0.00","0.00","0.00","0.00","0.00","0.00","0.17","0.00","0.00","0.25","0.50","0.00","0.10","0.10","0.43","0.09"
"Aa_048","0.01","0.00","0.00","0.00","0.00","0.12","0.25","0.00","0.12","0.06","0.45","0.00","0.08","0.32","0.20","0.00"
"Aa_049","0.02","0.00","0.02","0.00","0.00","0.17","0.06","0.00","0.14","0.08","0.43","0.00","0.14","0.29","0.21","0.04"
"Aa_050","0.02","0.00","0.00","0.02","0.08","0.32","0.00","0.00","0.24","0.61","0.00","0.00","0.16","0.15","0.24","0.00"
"Aa_051","0.01","0.00","0.00","0.00","0.04","0.00","0.00","0.00","0.02","0.04","0.18","0.00","0.04","0.00","0.00","0.11"
"Aa_052","0.00","0.00","0.00","0.00","0.00","0.00","0.09","0.00","0.00","0.15","0.26","0.01","0.00","0.04","0.02","0.00"
"Aa_053","0.00","0.00","0.00","0.00","0.00","0.11","0.19","0.00","0.00","0.17","0.46","0.00","0.00","0.00","0.25","0.05"
"Aa_054","0.00","0.00","0.00","0.00","0.00","0.01","0.12","0.00","0.00","0.25","0.36","0.00","0.00","0.13","0.11","0.00"
"Aa_055","0.00","0.00","0.00","0.00","0.00","0.25","0.18","0.00","0.00","0.28","0.36","0.00","0.00","0.00","0.00","0.00"
"Aa_056","0.00","0.00","0.00","0.00","0.00","0.18","0.33","0.00","0.00","0.26","0.36","0.16","0.00","0.00","0.00","0.00"
"Aa_057","0.00","0.00","0.00","0.00","0.00","0.17","0.32","0.00","0.00","0.25","0.37","0.15","0.00","0.00","0.00","0.00"
"Aa_058","0.02","0.00","0.00","0.02","0.00","0.37","0.24","0.00","0.09","0.27","0.34","0.00","0.00","0.00","0.17","0.20"
"Aa_059","0.04","0.02","0.00","0.00","0.00","0.07","0.35","0.02","0.00","0.37","0.34","0.20","0.00","0.00","0.00","0.21"
"Aa_060","0.00","0.00","0.00","0.00","0.00","0.02","0.05","0.00","0.00","0.26","0.42","0.00","0.01","0.22","0.10","0.08"
"Aa_061","0.00","0.03","0.00","0.02","0.00","0.22","0.27","0.00","0.02","0.41","0.41","0.00","0.00","0.13","0.06","0.10"
"Aa_062","0.02","0.02","0.00","0.00","0.00","0.17","0.31","0.00","0.00","0.39","0.52","0.00","0.00","0.12","0.22","0.12"
"Aa_063","0.00","0.00","0.00","0.00","0.00","0.16","0.19","0.00","0.07","0.35","0.31","0.00","0.12","0.25","0.16","0.04"
"Aa_064","0.00","0.00","0.02","0.00","0.02","0.27","0.01","0.00","0.31","0.42","0.17","0.00","0.18","0.30","0.21","0.00"
"Aa_065","0.01","0.00","0.00","0.00","0.00","0.20","0.09","0.00","0.28","0.31","0.34","0.00","0.15","0.18","0.05","0.04"
"Aa_066","0.02","0.00","0.00","0.00","0.02","0.26","0.32","0.00","0.27","0.06","0.50","0.00","0.05","0.25","0.03","0.07"
"Aa_067","0.00","0.01","0.00","0.01","0.06","0.31","0.00","0.00","0.26","0.53","0.02","0.00","0.24","0.15","0.17","0.00"
"Aa_068","0.02","0.02","0.03","0.04","0.00","0.24","0.12","0.00","0.23","0.13","0.47","0.00","0.01","0.31","0.12","0.07"
"Aa_069","0.02","0.00","0.02","0.04","0.00","0.49","0.23","0.00","0.12","0.50","0.38","0.00","0.00","0.00","0.00","0.00"
"Aa_070","0.02","0.02","0.02","0.02","0.02","0.31","0.10","0.00","0.25","0.45","0.36","0.00","0.03","0.14","0.26","0.04"
"Aa_071","0.05","0.01","0.03","0.05","0.00","0.16","0.25","0.00","0.05","0.49","0.50","0.00","0.00","0.15","0.07","0.00"
"Aa_072","0.02","0.02","0.00","0.02","0.07","0.39","0.15","0.00","0.20","0.39","0.31","0.00","0.05","0.08","0.25","0.01"
"Aa_073","0.02","0.03","0.04","0.04","0.03","0.38","0.15","0.00","0.26","0.30","0.42","0.00","0.00","0.05","0.08","0.00"
"Aa_074","0.09","0.05","0.03","0.02","0.17","0.50","0.00","0.00","0.21","0.45","0.11","0.00","0.00","0.00","0.02","0.00"
"Aa_075","0.07","0.03","0.04","0.03","0.31","0.42","0.00","0.00","0.26","0.32","0.32","0.00","0.25","0.21","0.00","0.00"
"Aa_076","0.01","0.00","0.00","0.00","0.02","0.28","0.31","0.00","0.08","0.31","0.26","0.00","0.02","0.18","0.14","0.03"
"Aa_077","0.00","0.00","0.00","0.00","0.00","0.25","0.11","0.00","0.07","0.24","0.36","0.00","0.00","0.07","0.17","0.12"
"Aa_078","0.00","0.00","0.00","0.00","0.00","0.36","0.01","0.00","0.05","0.34","0.40","0.04","0.00","0.20","0.01","0.07"
"Aa_079","0.00","0.00","0.00","0.00","0.00","0.07","0.27","0.00","0.02","0.17","0.37","0.00","0.00","0.13","0.27","0.05"
"Aa_080","0.00","0.00","0.00","0.00","0.00","0.05","0.02","0.00","0.02","0.36","0.34","0.00","0.00","0.30","0.17","0.00"
"Aa_081","0.00","0.00","0.00","0.00","0.00","0.05","0.20","0.00","0.00","0.23","0.28","0.00","0.00","0.16","0.20","0.06"
"Aa_082","0.00","0.00","0.00","0.00","0.00","0.04","0.01","0.00","0.05","0.26","0.21","0.00","0.02","0.26","0.21","0.04"
"Aa_083","0.00","0.00","0.00","0.00","0.01","0.18","0.00","0.00","0.05","0.48","0.10","0.00","0.01","0.21","0.07","0.00"
"Aa_084","0.00","0.00","0.00","0.00","0.00","0.08","0.15","0.00","0.00","0.23","0.42","0.00","0.00","0.15","0.06","0.02"
"Aa_085","0.00","0.00","0.00","0.00","0.00","0.14","0.26","0.00","0.00","0.24","0.38","0.00","0.00","0.00","0.03","0.08"
"Aa_086","0.00","0.00","0.00","0.00","0.00","0.10","0.35","0.00","0.00","0.43","0.43","0.00","0.00","0.06","0.14","0.03"
"Aa_087","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.00","0.11","0.57","0.11","0.00","0.05","0.29","0.13","0.00"
"Aa_088","0.00","0.00","0.00","0.00","0.00","0.45","0.11","0.00","0.15","0.40","0.16","0.02","0.00","0.11","0.00","0.00"
"Aa_089","0.00","0.00","0.00","0.00","0.01","0.38","0.10","0.00","0.25","0.35","0.28","0.00","0.00","0.12","0.04","0.00"
"Aa_090","0.00","0.00","0.00","0.00","0.00","0.22","0.10","0.00","0.00","0.61","0.26","0.00","0.00","0.04","0.05","0.00"
"Aa_091","0.00","0.00","0.00","0.00","0.02","0.38","0.14","0.00","0.25","0.32","0.27","0.00","0.00","0.00","0.06","0.00"
"Aa_092","0.00","0.00","0.00","0.00","0.00","0.12","0.12","0.00","0.00","0.52","0.41","0.02","0.00","0.17","0.05","0.07"
"Aa_093","0.02","0.00","0.02","0.02","0.00","0.03","0.04","0.00","0.05","0.27","0.43","0.00","0.05","0.36","0.19","0.01"
"Aa_094","0.02","0.00","0.00","0.00","0.00","0.10","0.15","0.00","0.07","0.28","0.55","0.00","0.00","0.25","0.07","0.04"
"Aa_095","0.00","0.00","0.00","0.00","0.00","0.05","0.05","0.00","0.01","0.51","0.13","0.00","0.07","0.30","0.35","0.03"
"Aa_096","0.00","0.00","0.00","0.01","0.00","0.29","0.29","0.00","0.00","0.65","0.49","0.00","0.00","0.00","0.12","0.00"
